,Factor1,Factor2,Factor3,Factor4,Factor5,trait
E1,0.7343653639441021,0.04887451245193843,-0.0021587674885040144,-0.009191524669753575,-0.017479399859879972,E
E2,0.7374856525089648,0.10064564438780758,-0.042221355863992435,-0.007543610857007888,0.05513728168252616,E
E3,0.6337104726758932,-0.1626484980238684,0.07885222460658442,-0.0746543706338781,0.19275734482382284,E
E4,0.7437026318119001,-0.05445455109910134,0.00013916670123870014,-0.040824940815241566,-0.022648737751452843,E
E5,0.7413996651346177,0.038514138395635576,0.0720367656503848,0.015269567105921922,0.138442231445196,E
E6,0.5870153386716743,-0.004342137372564039,-0.004338791693465449,0.1941554831499415,0.08759665142357645,E
E7,0.7563247529373711,0.005905029367104962,0.01792009965336469,-0.02221884244663371,0.08578350908277924,E
E8,0.6601905922687648,0.05243370226826242,-0.06798102718283265,-0.0038160251009205755,-0.11874437631007029,E
E9,0.6979040232469494,0.0573370550042607,-0.014071914101320476,0.08290481687952823,-0.102572694450199,E
E10,0.6806692591097303,-0.1007871636999973,-0.0070947985905033895,-0.021567000089943063,-0.015748664000420885,E
N1,-0.011409736099294559,0.7512089030604374,0.07737137266834507,-0.07218991336953816,0.09679440980014198,N
N2,-0.03032360910526119,0.5792913533537672,0.13276953012478715,-0.0686148309831035,0.0007674885227061852,N
N3,-0.07301961161250829,0.689898073382558,0.13016043792814144,-0.015248873284805918,0.2015508661592173,N
N4,-0.12139525582775414,0.3472636076417724,-0.06541138324966411,0.08254858994071389,0.06842066362988279,N
N5,0.05870739792590312,0.6014839982837591,-0.03167221790571383,-0.13184807220981118,0.004574684160404165,N
N6,0.05386801110077137,0.7929305834502685,0.012653405016220217,-0.09359332981148814,0.05958873962795833,N
N7,0.11877067639922548,0.7528290742353445,-0.057357169730516126,0.0063878158100807115,-0.062033792615438704,N
N8,0.10909387066119638,0.7769249026679702,-0.05889471126557524,-0.00653688450996025,-0.0678842232512942,N
N9,0.09083392790848517,0.7676050531271142,0.07033677847063305,-0.01720464632576224,-0.17493718232543198,N
N10,-0.16927335999584672,0.6256442512408165,-0.08728549206996386,0.08105706652719108,0.006237991025378684,N
A1,-0.08378638577649379,-0.08227096599287656,-0.05176185957417931,0.06474332576918726,0.5163546323731213,A
A2,0.28973185656107825,-0.006363994016675319,-0.06974594639759917,0.037642408998022986,0.5541032117278407,A
A3,-0.22909566748368146,-0.2759059557647188,0.1322231421538486,-0.12327294320072978,0.47879605697947447,A
A4,-0.0523590078966556,0.08330969391762355,-0.02454985514750141,-0.03758521135243559,0.8264999008905894,A
A5,0.049986654720681485,-0.0006952536056748473,-0.08248727881243163,-0.02582695649423553,0.7203012151310193,A
A6,-0.06142009269438282,0.18045314781126565,-0.0019107149481332895,-0.12125658758316821,0.678508152933152,A
A7,0.23171225824333502,-0.060370056246431235,-0.07532176380342283,-0.00950632107462238,0.6537907963477342,A
A8,0.03981564790943448,0.01364204190733754,0.03105033825211825,-0.007655692306268512,0.6416976962590063,A
A9,0.04426636772249559,0.1562184699407253,0.019055446269977693,0.0113567418046396,0.7370477923797117,A
A10,0.29759611531631114,-0.05877737513055877,0.10731568770934419,0.04121542498774515,0.3770405980215923,A
C1,0.021559374863454574,-0.0091297288625029,0.663718849178731,0.09362610447915781,-0.06654742881383928,C
C2,-0.06403594012314652,-0.035859393827278443,0.6079716757201454,-0.16309144401847972,-0.09382718219539317,C
C3,-0.07136249621045776,0.08468745404972527,0.4705794030796809,0.27467621152189997,0.03901755341515081,C
C4,-0.0010485445988644053,-0.31023317640057957,0.5604315948912956,-0.049621273543215695,-0.014213015209228822,C
C5,0.0774954836875503,0.021047636236693826,0.6884465584734835,-0.13573494439815034,-0.00036619542402663524,C
C6,-0.026046137585384987,-0.09274024054152159,0.6458350110604135,-0.09863566675110695,-0.0653906491323359,C
C7,-0.044308831305180325,0.1802301456480409,0.6431399449699431,0.014284231129136439,-0.024199687934921086,C
C8,0.0005117330438525558,-0.1619180883882015,0.4960819842718413,-9.286204324319381e-05,0.12110998387176049,C
C9,0.05826522831081649,0.14345564392212165,0.7068864130100003,-0.08355976066777913,0.03144624914561241,C
C10,0.012932907255734514,0.08425104011067377,0.5458391596298839,0.22597270426966906,-0.006036255615520933,C
O1,-0.006392067591736735,-0.03864989102791695,0.027639982743821283,0.6597751740665255,-0.08817488641799535,O
O2,-0.07110081014101834,-0.24712594947544209,-0.05699979115829987,0.6202280761621085,-0.005151979110675309,O
O3,0.010155889944835465,0.11339680501484892,-0.10525834035430236,0.5940179935962122,0.04065762189222421,O
O4,-0.10246786301561198,-0.15923779175549685,-0.13348108666561753,0.5461689651766739,0.11649700595082826,O
O5,0.19293811335103492,-0.010315669402087928,0.16038555877535657,0.6116115526995363,-0.10193647039316651,O
O6,0.05496512195357029,-0.04785616189559717,-0.07746283410525022,0.5552065610568062,0.056311519210748735,O
O7,0.033007908659216725,-0.10900503772759566,0.18925508867551463,0.5367314795601527,-0.07344371351043183,O
O8,-0.0076268402000197275,0.08350234122788626,-0.04598460873547687,0.6328237706191314,-0.1646584798960311,O
O9,-0.19485746318516686,0.18500431104440992,0.04705748902790606,0.3947325732998427,0.20755541529245466,O
O10,0.1664763635964294,0.016712335384074965,0.027365987417028583,0.6907305125745509,-0.039523063602146837,O
